"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"207784_at"	0.117544	5.2816668	1.17987796688527	0.264267999656077	0.557024992194114	-5.55261108874929	"NO"	"NO"	"ARSD"
"207786_at"	0.124505799999999	4.8659363	0.575789157441085	0.576973406797548	0.799670371635037	-6.06821050108659	"NO"	"NO"	"CYP2R1"
"207790_at"	0.30799	5.045442	2.58094397399722	0.0265460992367797	0.181972297148646	-3.55220680968926	"NO"	"NO"	"LRRC1"
"207795_s_at"	0.263747799999998	5.8845847	0.866991887292584	0.405456946359499	0.683486260110765	-5.85789046966251	"NO"	"NO"	"KLRD1"
"207805_s_at"	-0.1728044	9.7699406	-2.19195459169442	0.0520933330691559	0.249063149649049	-4.1722168853114	"NO"	"NO"	"PSMD9"
"207809_s_at"	-0.820055599999998	10.128353	-4.25056118132743	0.00153723003137667	0.0643259485847394	-0.853820489256437	"NO"	"NO"	"ATP6AP1"
"207811_at"	0.0750198000000002	3.4249663	1.01407934425662	0.333498811772436	0.621262912348434	-5.723826268898	"NO"	"NO"	"KRT12"
"207813_s_at"	-1.1933144	7.2905464	-4.97616097393814	0.00049091147639869	0.0510017220345017	0.224987866463113	"NO"	"NO"	"FDXR"
"207820_at"	0.0159942000000015	7.0064299	0.0673027628726275	0.947613848934312	0.980329076540239	-6.23789653689103	"NO"	"NO"	"ADH1A"
"207822_at"	0.00609060000000028	3.9647149	0.0551691454652739	0.957046590485106	0.984098197188965	-6.23868019166838	"NO"	"NO"	"FGFR1"
"207823_s_at"	-0.0584545999999992	4.6081959	-0.515519035966001	0.616943929592215	0.821926686235839	-6.10190701082474	"NO"	"NO"	"AIF1"
"207826_s_at"	0.437439999999998	7.3383154	1.13855783883838	0.280371734133328	0.573372377731077	-5.59716409833687	"NO"	"NO"	"ID3"
"207830_s_at"	0.0937123999999958	9.9880968	0.932685506268978	0.372076684036546	0.654083585413026	-5.80018657628296	"NO"	"NO"	"PPP1R8"
"207834_at"	-0.258546200000001	5.4822875	-3.32786022864119	0.0072296584179049	0.106873022148822	-2.32691775886637	"NO"	"NO"	"FBLN1"
"207840_at"	0.2672204	6.0423488	0.453077889010751	0.659775438365532	0.846473867189333	-6.13308231788949	"NO"	"NO"	"CD160"
"207841_at"	0.0276683999999987	4.4682892	0.368809072165239	0.719648993464134	0.878807165391783	-6.16900982566225	"NO"	"NO"	"SPIN-2"
"207842_s_at"	0.0581926000000035	8.1669803	0.459688167277618	0.655176220010526	0.843762904253561	-6.12996395042308	"NO"	"NO"	"CASC3"
"207847_s_at"	0.473089199999999	11.6118368	3.70509998264318	0.00379604728660318	0.0855694520933615	-1.71399720099012	"NO"	"NO"	"MUC1"
"207850_at"	0.4798916	7.0432392	0.717857474943886	0.488617280006524	0.741607590554782	-5.97517666659565	"NO"	"NO"	"CXCL3"
"207852_at"	0.1467282	2.7932045	1.65319222105765	0.128047281061036	0.389563710643942	-4.96576146896488	"NO"	"NO"	"CXCL5"
"207853_s_at"	-0.1266346	5.1895405	-1.45493720233013	0.175122014698594	0.454485669743263	-5.22728713690352	"NO"	"NO"	"SNCB"
"207854_at"	0.156124199999999	3.2276029	2.2072478738214	0.0507436915496007	0.24628630090488	-4.14838573963179	"NO"	"NO"	"GYPE"
"207856_s_at"	-0.0790872000000009	6.8916846	-0.976597718370962	0.350882557867388	0.636728664151043	-5.75964530596785	"NO"	"NO"	"FLJ20297"
"207857_at"	0.516792400000001	5.1796858	1.50317196992076	0.162463986184338	0.438013650679447	-5.16555336784206	"NO"	"NO"	"LILRA2"
"207861_at"	0.2581726	5.7036375	1.41455492101023	0.186360436305313	0.467789808571285	-5.27796467074158	"NO"	"NO"	"CCL22"
"207863_at"	0.0839658000000014	4.8531925	1.09150536522247	0.299630265947869	0.590744916341016	-5.6464014119343	"NO"	"NO"	"ADPRH"
