"Affy_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Gene.Symbol"	"Symbol"
"1560625_s_at"	0.113333333333332	3.92333333333333	0.985442369743504	0.349485589472849	0.72417663171485	-6.40053391147095	"NO"	"NO"	"CATIP-AS1"	"CATIP-AS1"
"1560630_at"	0.106666666666666	4.98666666666667	0.657870609875064	0.526656354651668	0.832993988387525	-6.67488955141381	"NO"	"NO"	"RP11-109E24.2"	"RP11-109E24.2"
"1560634_a_at"	-0.213333333333334	3.16666666666667	-1.43244137804818	0.184939877188874	0.552379837886308	-5.89126444667569	"NO"	"NO"	"AC007557.2 /// BC031974"	"AC007557.2"
"1560636_a_at"	0.0733333333333341	3.27	0.704405190574829	0.498533980450225	0.818981593086835	-6.64179000335883	"NO"	"NO"	"HSPC081"	"HSPC081"
"1560646_at"	-0.13	3.05166666666667	-0.983947534204568	0.350182112762923	0.724494154285875	-6.40199424655388	"NO"	"NO"	"METTL21EP"	"METTL21EP"
"1560652_at"	0.0299999999999998	2.73166666666667	0.196072489482185	0.848794387994205	0.959502266112717	-6.88584271836334	"NO"	"NO"	"RP6-24A23.7"	"RP6-24A23.7"
"1560654_at"	-0.0366666666666671	3.025	-0.236959560391394	0.817854049844584	0.948989618876386	-6.87617896979755	"NO"	"NO"	"FLJ37201"	"FLJ37201"
"1560656_at"	0.123333333333333	3.26833333333333	0.989566217454206	0.347569399686928	0.722396294681168	-6.39649596203354	"NO"	"NO"	"LOC101928327"	"LOC101928327"
"1560665_at"	0.133333333333333	3.25	1.47503574221952	0.173415507834602	0.535889498155026	-5.83608522215138	"NO"	"NO"	"SCPEP1"	"SCPEP1"
"1560671_at"	0.0266666666666664	4.80666666666667	0.16976404638023	0.8688514613341	0.964733731005502	-6.89110370190968	"NO"	"NO"	"KIAA1652"	"KIAA1652"
"1560676_at"	-0.0699999999999998	2.43833333333333	-0.771675305264148	0.45957019282171	0.797768241632191	-6.59037901719643	"NO"	"NO"	"SIAH3"	"SIAH3"
"1560679_at"	0.24	2.95333333333333	1.99307077434285	0.0765615775267305	0.355438927678865	-5.09740045222738	"NO"	"NO"	"LINC01127"	"LINC01127"
"1560686_at"	0.0833333333333339	4.395	0.75466637644676	0.469230372510542	0.803909711309317	-6.60376989696173	"NO"	"NO"	"ITGAD"	"ITGAD"
"1560690_at"	-0.186666666666667	2.86333333333333	-1.86424288570634	0.0942848876994831	0.398073754721909	-5.29102306596756	"NO"	"NO"	"LINC01153"	"LINC01153"
"1560694_at"	0.180000000000001	4.84666666666667	1.32463422246884	0.217091182553167	0.594653324269025	-6.0262368848659	"NO"	"NO"	"SFT2D1"	"SFT2D1"
"1560705_at"	0.17	2.93833333333333	1.62431909930039	0.137848745009157	0.481288482061555	-5.6351570507312	"NO"	"NO"	"SLC25A28"	"SLC25A28"
"1560707_at"	-0.0166666666666679	2.765	-0.154538517117234	0.880505390037614	0.969304980404404	-6.89380487027061	"NO"	"NO"	"LOC283856"	"LOC283856"
"1560712_at"	0.186666666666667	2.89	0.884850437409119	0.398659045484522	0.759810482513551	-6.49472485739508	"NO"	"NO"	"TMPRSS11B"	"TMPRSS11B"
"1560715_at"	0.0666666666666664	3.13	0.597063609379346	0.564794776596367	0.851842829450398	-6.7150245619082	"NO"	"NO"	"P4HA3"	"P4HA3"
"1560716_at"	0.0433333333333334	3.15166666666667	0.347685427754183	0.735859055877261	0.921809625361737	-6.84100334112265	"NO"	"NO"	"LOC101929745"	"LOC101929745"
"1560717_at"	0.00333333333333297	2.755	0.0279467785682658	0.978298417282758	0.991764866501703	-6.90646172487103	"NO"	"NO"	"AC124997.1"	"AC124997.1"
"1560723_at"	-0.0199999999999987	2.84333333333333	-0.178194173750285	0.862412979724033	0.963090404746072	-6.88949970311465	"NO"	"NO"	"LOC283731"	"LOC283731"
"1560725_at"	0.163333333333333	3.245	1.79274002112445	0.105712846146194	0.423380238055848	-5.39600845227112	"NO"	"NO"	"IL12A-AS1"	"IL12A-AS1"
"1560727_at"	0.0633333333333321	3.64833333333333	0.461120993468623	0.65536512316436	0.889839755178289	-6.79156820846232	"NO"	"NO"	"HEATR4"	"HEATR4"
"1560733_at"	0.0566666666666675	2.98833333333333	0.473022450446469	0.647162823916416	0.8870098406006	-6.78561073191697	"NO"	"NO"	"ALG5"	"ALG5"
"1560746_at"	-0.100000000000001	2.47666666666667	-0.992770806468868	0.346085752707164	0.721091664922288	-6.39334873604208	"NO"	"NO"	"NEXN-AS1"	"NEXN-AS1"
"1560750_at"	0.0233333333333339	3.21833333333333	0.210355287501364	0.837952200414629	0.955037033220845	-6.88267229703074	"NO"	"NO"	"LOC151121"	"LOC151121"
"1560753_at"	-0.0400000000000009	3.01333333333333	-0.34346275693148	0.738929894873248	0.923013982951586	-6.84258388871485	"NO"	"NO"	"RP11-215E13.2"	"RP11-215E13.2"
"1560754_at"	0.0966666666666685	4.33166666666667	0.975995168412702	0.353904836820683	0.727464848097723	-6.40973290106618	"NO"	"NO"	"CMTM7"	"CMTM7"
"1560757_at"	-0.113333333333334	3.18666666666667	-0.933013335146734	0.37453097837122	0.742718118401453	-6.45067077141553	"NO"	"NO"	"TOP1MT"	"TOP1MT"
"1560760_s_at"	-0.103333333333333	2.54166666666667	-0.768072480961255	0.461605489693005	0.798856713479727	-6.59323738038868	"NO"	"NO"	"LOC101927988"	"LOC101927988"
"1560762_at"	0.0166666666666653	2.545	0.186699916647921	0.855927564578864	0.961638411819308	-6.88780310405226	"NO"	"NO"	"LINC00996"	"LINC00996"
"1560767_at"	0.0633333333333335	4.405	0.579749128067045	0.575933604195425	0.85694571575552	-6.72579587436803	"NO"	"NO"	"HCG22"	"HCG22"
"1560770_at"	0.0233333333333325	2.99833333333333	0.238046817422117	0.81703554276045	0.948791920160795	-6.87589736409958	"NO"	"NO"	"PABPC1"	"PABPC1"
"1560781_at"	-0.043333333333333	2.61833333333333	-0.413046586811681	0.688985328828767	0.903848701667562	-6.81415169396429	"NO"	"NO"	"DNHD1"	"DNHD1"
"1560787_at"	0.0533333333333341	3.23	0.416786267357471	0.686342847092482	0.902887136441496	-6.81248055715814	"NO"	"NO"	"LOC101929143"	"LOC101929143"
"1560790_at"	0.0799999999999996	3.48666666666667	0.807522357311985	0.439641098842544	0.785432527748542	-6.5613031867412	"NO"	"NO"	"GOLGA6L2"	"GOLGA6L2"
"1560791_at"	0.153333333333333	2.45333333333333	1.61477033845294	0.139911947992488	0.484341253418342	-5.6483396424713	"NO"	"NO"	"LOC101928809"	"LOC101928809"
"1560792_at"	0.29	3.91833333333333	2.19224554686013	0.0552622605419244	0.297197712350058	-4.78859781556721	"NO"	"NO"	"RP11-309G3.3"	"RP11-309G3.3"
"1560794_at"	0.190000000000001	3.045	1.7284916747642	0.117061458737109	0.44493119613844	-5.48865736449632	"NO"	"NO"	"RP11-274B18.4"	"RP11-274B18.4"
"1560797_s_at"	0.0466666666666664	2.56333333333333	0.54188802440716	0.600706442976029	0.867314642131305	-6.74831943909478	"NO"	"NO"	"LOC101927830 /// TMLHE-AS1"	"LOC101927830"
"1560806_at"	0.156666666666667	3.99833333333333	1.32246396113403	0.217784147594766	0.595330559777488	-6.02888181946265	"NO"	"NO"	"LOC646743 /// TISP43"	"LOC646743"
"1560810_at"	0.0500000000000003	3.23166666666667	0.531970301949112	0.607287884721799	0.87011176879363	-6.75398404630365	"NO"	"NO"	"LOC101927735"	"LOC101927735"
"1560812_at"	0.0833333333333335	2.96833333333333	0.840141272624361	0.42201770754044	0.774940358605975	-6.53385371431696	"NO"	"NO"	"LOC101928708"	"LOC101928708"
"1560823_at"	0.0333333333333332	2.47333333333333	0.322625412807206	0.754153799006367	0.92821963232507	-6.85010733433112	"NO"	"NO"	"LOC340017"	"LOC340017"
"1560827_at"	-0.0633333333333335	4.28833333333333	-0.351137326629241	0.733352401050004	0.920950394214029	-6.83969732212552	"NO"	"NO"	"LOC101928725"	"LOC101928725"
"1560830_a_at"	0.123333333333332	4.72166666666667	1.21951720600561	0.252836748857436	0.634616409299926	-6.15086850369384	"NO"	"NO"	"C19orf84"	"C19orf84"
"1560832_at"	-0.00333333333333385	3.285	-0.0304763151400852	0.976334795652025	0.991764866501703	-6.90638065458511	"NO"	"NO"	"LINC01029"	"LINC01029"
"1560833_at"	-0.0566666666666666	2.475	-0.528386598517236	0.609675277359109	0.871076559070524	-6.7560067275541	"NO"	"NO"	"LINC01189 /// LOC101927827"	"LINC01189"
"1560836_at"	-0.0966666666666671	3.445	-1.01209086258128	0.337240924530879	0.714703963282524	-6.37420154498913	"NO"	"NO"	"LINC01241"	"LINC01241"
"1560838_at"	-0.0766666666666671	2.56833333333333	-0.799748925748289	0.443912952114038	0.788332592395376	-6.56770589216111	"NO"	"NO"	"FAM217A"	"FAM217A"
"1560841_at"	0.0666666666666664	3.71666666666667	0.561597913455954	0.587739736574222	0.862226048981661	-6.73677115714551	"NO"	"NO"	"LOC389247"	"LOC389247"
"1560844_at"	0.103333333333333	3.43833333333333	0.937079879037673	0.372542946261662	0.741243902979432	-6.44686248054779	"NO"	"NO"	"BC040898 /// RP11-244K5.6"	"BC040898"
"1560848_at"	0.103333333333335	3.165	1.06032429856359	0.315903405056895	0.694631758354545	-6.32512424292214	"NO"	"NO"	"LOC101927490"	"LOC101927490"
"1560850_at"	-0.0366666666666671	2.79833333333333	-0.321102802570806	0.75527071723894	0.928611537588875	-6.85063905341722	"NO"	"NO"	"LOC101926959"	"LOC101926959"
"1560851_at"	0.0200000000000009	2.46333333333333	0.191982855213232	0.851905144237057	0.960541337499553	-6.88670982590975	"NO"	"NO"	"LINC00619"	"LINC00619"
"1560856_at"	0.226666666666667	3.81666666666667	2.45887104652917	0.0355555823826477	0.230304640062939	-4.36201649042178	"NO"	"NO"	"ARHGAP26-AS1"	"ARHGAP26-AS1"
"1560861_at"	-0.00333333333333252	2.80166666666667	-0.0370506416262099	0.971232114815934	0.991764866501703	-6.90613712562864	"NO"	"NO"	"AC090627.1"	"AC090627.1"
"1560862_at"	0.106666666666667	3.80333333333333	0.978985535048621	0.352501545946878	0.726625635321394	-6.40682886466892	"NO"	"NO"	"LOC101929684"	"LOC101929684"
"1560863_a_at"	0.0100000000000002	2.77166666666667	0.0688840560284769	0.946548413050823	0.986874748091926	-6.90428763065725	"NO"	"NO"	"RP11-91I8.1"	"RP11-91I8.1"
"1560870_a_at"	0.203333333333334	3.13833333333333	1.52478791675315	0.160752360385954	0.516713621635824	-5.77038516869091	"NO"	"NO"	"RP11-1012E15.1"	"RP11-1012E15.1"
"1560872_at"	-0.0666666666666682	3.30333333333333	-0.692183624926477	0.50582860533726	0.82289238169423	-6.65068058197347	"NO"	"NO"	"RP11-513N24.1"	"RP11-513N24.1"
"1560874_at"	-0.0533333333333346	4.63333333333333	-0.551607711088859	0.594293167978198	0.864577465287362	-6.74267278668281	"NO"	"NO"	"EFCAB4B"	"EFCAB4B"
"1560877_a_at"	-0.146666666666666	2.94333333333333	-1.02094819899391	0.333243152795079	0.710685484960401	-6.3653249258411	"NO"	"NO"	"RP11-21G15.1"	"RP11-21G15.1"
"1560881_a_at"	-0.0100000000000007	3.555	-0.09016987775554	0.93007504613195	0.981828686256142	-6.90243150924688	"NO"	"NO"	"LINC00112"	"LINC00112"
"1560895_at"	0.236666666666666	2.95166666666667	1.42083008949919	0.188194148214054	0.556538251170831	-5.90612973104883	"NO"	"NO"	"LOC645188"	"LOC645188"
"1560897_a_at"	-0.0633333333333335	4.615	-0.6103832480539	0.556308980765924	0.848353482956737	-6.70653902373484	"NO"	"NO"	"KRTAP10-11"	"KRTAP10-11"
"1560903_at"	-0.100000000000001	2.97	-0.674385714029282	0.516568223066644	0.827407976470117	-6.66337664753729	"NO"	"NO"	"CTA-254O6.1"	"CTA-254O6.1"
"1560911_at"	-0.0633333333333335	4.60833333333333	-0.677897890151312	0.514438006115925	0.826387576593597	-6.6608949175848	"NO"	"NO"	"LOC100133461"	"LOC100133461"
"1560912_at"	0.0666666666666669	3.61666666666667	0.552898259472998	0.593444391760693	0.864366032274386	-6.74191597618157	"NO"	"NO"	"LINC01120"	"LINC01120"
"1560920_s_at"	-0.0199999999999987	4.04666666666667	-0.195521492301849	0.849213341578493	0.959658548649023	-6.88596060045341	"NO"	"NO"	"LOC102725382"	"LOC102725382"
"1560928_at"	0.0933333333333328	4.24333333333333	0.685332901657596	0.509946154013114	0.824129446166592	-6.65560285261798	"NO"	"NO"	"LOC151657"	"LOC151657"
"1560932_at"	-0.0200000000000005	2.96	-0.224378442573596	0.827341989323838	0.951773166122011	-6.87934487015276	"NO"	"NO"	"FLJ31356"	"FLJ31356"
"1560939_at"	0.0999999999999996	4.91	0.804344288151905	0.441384251485954	0.78679851167171	-6.56392734791522	"NO"	"NO"	"PCOLCE-AS1"	"PCOLCE-AS1"
"1560944_at"	0.0800000000000001	3.13666666666667	0.822771905792976	0.431341203450517	0.780370613105358	-6.54858699666355	"NO"	"NO"	"SLC25A3P1"	"SLC25A3P1"
"1560950_at"	0.12	2.61333333333333	1.19988059939474	0.260021239667944	0.641777775318023	-6.17333706307928	"NO"	"NO"	"HECW1-IT1"	"HECW1-IT1"
"1560954_at"	0.146666666666667	2.77666666666667	1.65396786144167	0.131615950517052	0.470103696687559	-5.59395492145845	"NO"	"NO"	"LOC101928167"	"LOC101928167"
"1560957_at"	-0.220000000000001	2.91333333333333	-1.81173373288452	0.102557782467001	0.41718225997941	-5.3683068346714	"NO"	"NO"	"LOC101928626"	"LOC101928626"
"1560958_s_at"	-0.13	3.145	-1.42153503746118	0.187995175922675	0.55638390405826	-5.90522941928051	"NO"	"NO"	"LOC101928516"	"LOC101928516"
"1560959_a_at"	-0.0966666666666671	2.925	-0.890819241489562	0.39561054576942	0.757692334143242	-6.48937134753648	"NO"	"NO"	"RP1-39J2.1"	"RP1-39J2.1"
"1560960_at"	0.193333333333333	3.03	1.41778245293717	0.189056434946437	0.557889363331979	-5.9100186881254	"NO"	"NO"	"AY927499"	"AY927499"
"1560964_at"	-0.0599999999999996	4.34333333333333	-0.412458689220492	0.689401146061439	0.903930715220319	-6.8144130857663	"NO"	"NO"	"RP11-315F22.1"	"RP11-315F22.1"
"1560977_a_at"	-0.0366666666666671	3.02166666666667	-0.290708552984935	0.777688530519471	0.935803869228868	-6.86073761158495	"NO"	"NO"	"BCL2L13"	"BCL2L13"
"1560978_at"	0.119999999999999	4.25	0.678418078001912	0.514122954397454	0.826050501974222	-6.66052635755721	"NO"	"NO"	"RP11-534L20.5"	"RP11-534L20.5"
"1560979_a_at"	0.083333333333333	2.965	0.745898347418078	0.474261105793086	0.806899237074861	-6.61056992773459	"NO"	"NO"	"KB-1000E4.2"	"KB-1000E4.2"
"1560982_at"	-0.0866666666666682	3.82666666666667	-0.846870915855648	0.418442728729954	0.772813004773349	-6.52807450394195	"NO"	"NO"	"RP11-452L6.1"	"RP11-452L6.1"
"1560988_a_at"	0.0800000000000001	3.00333333333333	0.581506462805953	0.574797553118938	0.856439738841203	-6.72471604947839	"NO"	"NO"	"LINC00556"	"LINC00556"
"1560996_at"	0.216666666666667	2.565	2.25251614524335	0.0500355438186444	0.280325172485335	-4.69329605400093	"NO"	"NO"	"RP3-507I15.2"	"RP3-507I15.2"
"1561003_at"	-0.19	2.845	-1.39315790750227	0.196149012416625	0.566661758530193	-5.94124401392627	"NO"	"NO"	"RP11-298D21.2"	"RP11-298D21.2"
"1561004_at"	0.0866666666666669	2.74	0.922835214299149	0.379540364969175	0.746367124182717	-6.46014243946414	"NO"	"NO"	"PRKCQ-AS1"	"PRKCQ-AS1"
"1561021_at"	0.106666666666667	2.4	1.10463603406666	0.297227591450669	0.678620226440278	-6.27847147206983	"NO"	"NO"	"RP11-96H17.1"	"RP11-96H17.1"
"1561029_at"	-0.14	4.28333333333333	-0.82245384545305	0.431513224925562	0.780604340021344	-6.54885431599881	"NO"	"NO"	"LINC01425"	"LINC01425"
