"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"GI_13994301-S"	0.0230355255035697	7.37043237167086	1.21475303472321	0.234722961948554	0.420188196774394	-5.78545919244223	"TTY7"
"GI_13994321-S"	-0.0964412991821897	7.43726367248886	-4.03217242475988	0.000392002995623102	0.00493121950175879	-0.0681008432245962	"EPI64"
"GI_13994332-S"	-0.395422646796283	8.09643423306366	-4.11080517022701	0.000317577103285995	0.00426600814860845	0.13229747912079	"IFP38"
"GI_13994334-S"	-0.0150929240943087	7.28494421011214	-0.796297893739373	0.43263666446721	0.616588044422516	-6.19606514792778	"MIXL1"
"GI_13994340-S"	0.000984203584027732	7.36263913394425	0.0586790006135735	0.953629425280421	0.975573598350726	-6.51203606071861	"SLC25A2"
"GI_13994348-S"	0.0256396073521108	7.37007407594114	1.84139257187476	0.0763063837134337	0.197507863714881	-4.89452059427857	"SPATA9"
"GI_13994357-S"	0.290610075766267	8.87259057562233	3.53961163984319	0.00143859696406614	0.0120314527688416	-1.29885445332785	"NYD-SP14"
"GI_13994359-S"	-0.0183374786037449	7.33012732909475	-1.02044801430196	0.316353735494951	0.507407406046514	-5.99583450065705	"KRTAP1-5"
"GI_13994361-S"	-0.0247753022838131	7.29997267741929	-1.98733414217164	0.056863468210969	0.161952158204881	-4.64514774143332	"KRTAP3-1"
"GI_13994371-S"	-0.000132275692625861	7.29992113975122	-0.00870550005923864	0.993116553011363	0.996061301871293	-6.51374290839686	"KRTAP17-1"
"GI_13994373-S"	0.00323450717456808	7.3404242527194	0.180159725725396	0.858339847054359	0.923214679663142	-6.49733841785138	"GSG2"
"GI_14028874-S"	0.0184999579321818	7.38680425315263	1.14322553846759	0.262737901609152	0.450550546105428	-5.86677331717504	"SLC35D1"
"GI_14042922-S"	-0.32876957614562	8.18583510347651	-3.87879476411932	0.000589874386279847	0.00649448499252232	-0.456271090034942	"C9orf5"
"GI_14042940-S"	-0.195392505659058	8.11277207308206	-3.76162262499966	0.000804302021228832	0.00805426456620353	-0.750042971623889	"eIF2A"
"GI_14042942-S"	-0.161490901477974	7.85937372476452	-2.38528523453953	0.0241597439657126	0.0895838009349825	-3.89653969971365	"CDA11"
"GI_14042948-S"	-0.0097418242522922	7.30723907706101	-0.646656996945969	0.523181049813093	0.693380022156512	-6.30343245356963	"FKSG87"
"GI_14042950-S"	-0.0138061970604717	7.27463217929406	-0.892005665261232	0.380080041168911	0.568963631607822	-6.11626476314333	"FKSG83"
"GI_14042952-S"	-0.655571779470763	8.00910748930704	-4.54896783063097	9.73310338161357e-05	0.00189756119644877	1.26188476584003	"FKSG17"
"GI_14042954-S"	0.00614863248693442	7.31750747733199	0.454156135801208	0.65325818820849	0.792206928854197	-6.40962505001011	"FKSG42"
"GI_14042956-S"	0.00963253098782868	7.32627179432833	0.7704057814275	0.447586099632987	0.629978146590866	-6.21617197332322	"FKSG43"
"GI_14042959-S"	-0.0403595528155343	8.05824812249676	-0.693826352114965	0.493573933388959	0.669266144584885	-6.27190481274155	"SLC4A11"
"GI_14042961-S"	-0.075798827430142	7.36539452025229	-4.07413995525691	0.000350365596739956	0.00458506380602089	0.0387464851935739	"C14orf141"
"GI_14042963-S"	0.0665030848904085	7.88911270800345	1.02310395541189	0.31511875598663	0.506160281183114	-5.99318543315041	"FAM14A"
"GI_14042965-S"	0.0276284089218022	7.530123405336	1.76572716167699	0.0884731450372074	0.218327588837385	-5.01800301987372	"SSTK"
"GI_14042967-S"	0.30241721255209	8.26560219421738	4.11661083338294	0.000312670522815492	0.00422877701830556	0.147127334589084	"SPINL"
"GI_14042969-S"	0.0167784530099766	7.63566690634873	0.515558218889891	0.61025708756591	0.761500287471443	-6.37970361472231	"DKFZP761D0211"
"GI_14042971-S"	0.00132240153126428	7.46367419364434	0.0642866803793471	0.94920405002619	0.973343807761593	-6.51168657487499	"DKFZP564K0322"
"GI_14042973-S"	-0.0372063758743462	7.55663926530743	-0.942214906691063	0.35423507506779	0.54353837060238	-6.07098930336537	"NCALD"
"GI_14042977-S"	-0.010288368695492	7.36407119510591	-0.731375980525372	0.470697105226499	0.650046414201178	-6.24527720849856	"BRIP1"
"GI_14042983-S"	-0.000962675930409773	7.35205229577623	-0.0585871714422222	0.953701906443873	0.975573598350726	-6.51204151856729	"MSP"
"GI_14042987-S"	0.136027678117196	7.64124956144778	1.84695651842269	0.0754713735166257	0.195993037248762	-4.88528096644605	"EMILIN2"
"GI_14043021-S"	-0.0756047317248267	8.63801680599607	-1.69378805923439	0.10153263451296	0.24023522273584	-5.13158094155829	"MARS"
"GI_14043023-S"	0.0258014202615477	8.12813798786993	0.468732193456938	0.642932229783112	0.78505748428869	-6.40285937597181	"BAG3"
"GI_14043025-S"	0.551118813024409	11.0048604130998	4.77944282736168	5.2049871387458e-05	0.00123549957872335	1.8618374468594	"VAMP8"
"GI_14043031-A"	0.0717880321169577	7.87043730025728	1.07188651352341	0.293029303849358	0.482876762023632	-5.94339970926949	"C20orf18"
"GI_14043043-A"	0.041862866102786	7.3724376566988	2.3217526486118	0.0278346860324963	0.098429787082244	-4.02230386591019	"CCR9"
"GI_14043059-S"	0.0507428570636757	7.36481517249951	1.81357412830664	0.0806013719252775	0.205116594761568	-4.94039087795393	"CRYAA"
"GI_14043068-S"	1.39803221202358	12.9148978715323	1.92487469091408	0.0645801083567488	0.176025065352016	-4.75364051124843	"HBA2"
"GI_14043073-A"	-0.20478426591443	8.66714243344908	-2.42180547892461	0.022253574327527	0.0844473161487893	-3.82324793907146	"HNRPA2B1"
"GI_14110370-S"	-0.4207843011803	9.14279933019876	-5.15077205742314	1.89649596608854e-05	0.000677232591761294	2.8315470599994	"CDC16"
"GI_14110394-S"	-0.659009636559258	9.78943499724932	-4.87098886043692	4.05805332258375e-05	0.00106696074444905	2.10072092649663	"XBP1"
"GI_14110398-S"	0.0142690654353448	7.31981979400637	1.18437164877356	0.246337865405102	0.43238287380727	-5.82054095935041	"ALPPL2"
"GI_14110413-A"	-0.350837279128751	9.87356717409306	-6.08368538710461	1.53299728931941e-06	0.000144921097730052	5.25180782729869	"HNRPD"
"GI_14110425-S"	-0.0833887069974217	7.79773023916318	-1.57744280800644	0.126056704453938	0.278962742414467	-5.30711559821306	"HNRPA0"
"GI_14110430-A"	0.00872973429396318	8.99552849009768	0.144842674232253	0.885884747665184	0.939966172112712	-6.50315095977498	"HNRPC"
"GI_14140235-S"	0.015923857074986	7.33890571259071	1.35290692501305	0.187034900225623	0.361397013653984	-5.61599534975162	"SLC5A4"
"GI_14141149-S"	-0.093748609150814	7.82845459953439	-2.04052402783513	0.0509423128301336	0.14980066248069	-4.5507293851173	"MTA1"
"GI_14141150-S"	0.00975219527139437	7.61902783053757	0.262297956187991	0.795034277917007	0.88569895267329	-6.47895063067445	"HNRPF"
"GI_14141155-S"	-0.0590434033605156	7.54356775548379	-1.94965209290369	0.0614159779754132	0.170647430417936	-4.71091355689804	"HNRPH2"
"GI_14141158-A"	-0.229978957836092	8.33130096928235	-4.30885479079296	0.000186391367167536	0.00296427968228474	0.640521134220338	"HNRPH3"
"GI_14141164-S"	0.123800240780595	9.62556993904686	1.1591596204893	0.256294805682908	0.443184017154327	-5.84904505092553	"PCBP1"
"GI_14141165-A"	-0.457809871529971	9.38773042456727	-3.15593445183068	0.00383765137294658	0.0240015823155472	-2.21714325156557	"PCBP2"
"GI_14141169-S"	-0.0562548990798408	7.61283351154016	-1.91449054891469	0.0659478245200941	0.178633446597973	-4.77142412070902	"MTA1L1"
"GI_14141171-S"	-0.020468202340771	7.48011617668637	-0.45760214928857	0.650810534170371	0.790594560514028	-6.40804452800199	"MTNR1A"
"GI_14141172-S"	0.0155577533056128	7.27600584926246	1.09307621969438	0.283783731231505	0.473342167687971	-5.92111062871704	"MTNR1B"
"GI_14141173-S"	0.0477904807026324	8.29472642129879	0.512027749140538	0.61269342423413	0.763369381555783	-6.38152483197364	"HMGB2"
"GI_14141174-S"	-0.0164992742424097	7.28467157773403	-1.07204454698312	0.292959569265049	0.482827187513094	-5.94323495861291	"ABCG5"
"GI_14141179-S"	0.0717927604502719	7.46582986728487	2.43255369483408	0.0217194187653329	0.08310364879983	-3.80154130473503	"FADS1"
"GI_14141180-S"	0.00538332196713576	7.38350843297112	0.294163538421368	0.770827917710513	0.869505472471765	-6.46998797144675	"FADS2"
"GI_14141182-S"	-0.0181541177877991	7.34290633167963	-1.30959731363663	0.201099792353864	0.379129602504993	-5.67085294103674	"HMGA2"
"GI_14141183-S"	0.0300723431131305	7.3316694548584	1.90914873057299	0.0666611632346362	0.180064992171288	-4.78054388662682	"NBR2"
"GI_14141188-S"	-0.251836628732883	8.54453764116007	-3.56325622167601	0.00135278049004788	0.0115558106119348	-1.24094294638301	"HNRPR"
