"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"GI_23110923-S"	0.0339416031695006	10.6058856375057	0.356617024671169	0.723055580637278	0.954819584561044	-6.31032725071793	"NO"	"NO"	"PSMB10"
"GI_23110924-S"	-0.0137235609108188	10.2766169709174	-0.23417245685877	0.81591980655389	0.971733608289431	-6.34617518145794	"NO"	"NO"	"PSMB6"
"GI_23110926-S"	0.0761994758287159	10.2648610939253	1.04828235787285	0.300140721890494	0.804790377509147	-5.83447106189137	"NO"	"NO"	"PSMB7"
"GI_23110931-A"	0.0690915685568143	9.44557700509964	0.489130848631555	0.627139393585386	0.9324174490177	-6.25490605960767	"NO"	"NO"	"PSMB9"
"GI_23110938-A"	0.124413464783576	9.15834918917402	1.71550493024677	0.0931740257632993	0.568941498325769	-4.95932720489851	"NO"	"NO"	"PSMA3"
"GI_23110940-S"	0.037009878144346	8.94861737284496	0.654892346134887	0.515891350825113	0.904024877712158	-6.16145281051024	"NO"	"NO"	"PSMA4"
"GI_23110941-S"	-0.0238371915444091	9.61662989207106	-0.382883231972892	0.703620145294577	0.949411283398222	-6.30071178550082	"NO"	"NO"	"PSMA5"
"GI_23110943-S"	-0.0684325473914686	9.91766848489362	-0.663861198033077	0.510187173329467	0.902970498022179	-6.15563743169803	"NO"	"NO"	"PSMA6"
"GI_23110949-S"	0.327279012275509	9.67336176314832	3.90451755366514	0.000315467094057941	0.0750556165082157	0.111205412950578	"NO"	"NO"	"CTSD"
"GI_23110953-S"	-0.00582836672519704	7.30572039644073	-0.371456227678452	0.71205177736526	0.952481381386095	-6.30497836679726	"NO"	"NO"	"CTSG"
"GI_23110956-A"	0.0413034686615763	8.55944471807246	0.589279397260614	0.55863898997403	0.916864298812158	-6.20163282820444	"NO"	"NO"	"CTSH"
"GI_23110958-S"	-0.0113441077118983	7.44937922285655	-0.62597004998132	0.534516375187371	0.90924158701636	-6.17967726882426	"NO"	"NO"	"CTSK"
"GI_23110959-S"	0.15595486533396	7.77150151002327	1.33143777318121	0.189791968155148	0.719295610403125	-5.51055146148021	"NO"	"NO"	"CTSL2"
"GI_23110961-S"	0.0239730841677037	8.92690696892125	0.377717875937572	0.707426912753884	0.951177333031971	-6.30265631559506	"NO"	"NO"	"CTSS"
"GI_23110963-S"	-0.00710565750629577	7.30657235010411	-0.528046255454059	0.600077655588034	0.926054945572475	-6.23536545626203	"NO"	"NO"	"CTSW"
"GI_23110975-S"	0.0187834516338041	7.26502294458065	1.41267327987056	0.164673347436688	0.686080930590374	-5.40445409329597	"NO"	"NO"	"IFNK"
"GI_23110985-S"	-0.0983196589957904	7.72754854377864	-3.32271332505637	0.00178389305371348	0.128672074527841	-1.48993666019908	"NO"	"NO"	"PHF16"
"GI_23110992-S"	-0.00529628699048512	7.31294265531435	-0.298878532197471	0.766417144590143	0.962678422933138	-6.32907525577998	"NO"	"NO"	"MS4A3"
"GI_23110996-S"	0.01134983176203	7.31099660317534	0.819140894426342	0.417049827652696	0.867262761216752	-6.04272578446628	"NO"	"NO"	"MS4A5"
"GI_23110998-S"	-0.027119212723214	7.26308333552601	-1.73319491530942	0.0899517064163431	0.563737083311369	-4.93097384368368	"NO"	"NO"	"MS4A6E"
"GI_23110999-S"	0.0110509367554483	7.38852303138043	0.630611187893931	0.531504159807204	0.908329404372112	-6.17680722235811	"NO"	"NO"	"MS4A7"
"GI_23111004-S"	0.0133146573595608	7.40678488616523	0.476864811289025	0.635780296258415	0.934391004470305	-6.26075873895592	"NO"	"NO"	"MFAP4"
"GI_23111006-S"	0.00403515086386808	7.31778197189646	0.364770710725048	0.717001824701446	0.95366711275189	-6.30741502676846	"NO"	"NO"	"MGC3048"
"GI_23111008-S"	-0.0130762824700374	7.27917930485729	-0.681668119183994	0.498963827220866	0.899546373779889	-6.14386184604057	"NO"	"NO"	"MYOD1"
"GI_23111022-S"	0.0167620413177989	7.65285086697015	0.282472488647594	0.778884436724674	0.964673094306114	-6.33380239381373	"NO"	"NO"	"SNX10"
"GI_23111029-S"	0.000773905879260184	7.36176266774742	0.0657532529989675	0.947867325606301	0.992715204129059	-6.37124260949832	"NO"	"NO"	"SNX12"
"GI_23111031-A"	0.0422847247622311	7.61241852339617	1.73731567556111	0.0892145531434587	0.563737083311369	-4.92433275593852	"NO"	"NO"	"SNX1"
"GI_23111037-S"	0.0112857858566517	8.92094949096433	0.228840445573773	0.820036153835782	0.972184019364482	-6.34739965347802	"NO"	"NO"	"SNX2"
"GI_23111044-S"	-0.150951488916178	8.51372249802593	-3.18967891080489	0.00260291630430705	0.150630023080912	-1.83536128036179	"NO"	"NO"	"SNX4"
"GI_23111056-S"	0.0219052712910104	7.26251440474682	1.93612947512269	0.059187286192625	0.491505389916472	-4.58788317902602	"NO"	"NO"	"SNX9"
"GI_23111057-S"	-0.00695368684923103	7.56492894567915	-0.283241978547293	0.778298339920951	0.964599718774913	-6.33358661859443	"NO"	"NO"	"OSBPL10"
"GI_23111058-S"	-0.0483306532100558	7.50872548027964	-1.84823364388774	0.0711873342244366	0.525393732377442	-4.7404667233639	"NO"	"NO"	"OSBPL11"
"GI_23111059-S"	0.158844225117643	7.69032254667248	3.60496624368547	0.000781569279331499	0.0984164672858672	-0.730333003016612	"NO"	"NO"	"SF3B4"
"GI_23111060-S"	0.130110022728255	9.82625171308237	1.11090673164374	0.272545384171201	0.789635353724187	-5.76907844666954	"NO"	"NO"	"SFRS11"
"GI_23111063-A"	0.0717837450826533	8.13205717313789	1.60580960253144	0.115354531418484	0.610565250278693	-5.12943395105972	"NO"	"NO"	"SFRS8"
"GI_23111065-S"	-0.0528434694283124	9.39541446583423	-0.405026261641069	0.687389085999919	0.946550615373092	-6.29207873195667	"NO"	"NO"	"SLC27A2"
"GI_23111066-S"	0.0172594086190978	7.32509986764223	1.13620197724148	0.261923855445672	0.780544820570037	-5.74164863012516	"NO"	"NO"	"SPACA1"
"GI_23199977-A"	0.413803840362631	9.95104943568428	2.73428808573906	0.00892632746404699	0.247913064388927	-2.94821977929118	"NO"	"NO"	"WIG1"
"GI_23199980-S"	0.136424679280702	8.01326539838306	3.14370173371667	0.00296074607745073	0.159880288182339	-1.9527279166501	"NO"	"NO"	"WIRE"
"GI_23199981-S"	-0.00768988716985941	7.38566299296096	-0.573883371680812	0.568921792360726	0.919680899883704	-6.21045717236768	"NO"	"NO"	"ZNF179"
"GI_23199982-S"	0.0257556585346306	7.73021557818591	0.970618991635636	0.336958345322891	0.825332944032955	-5.91054755210703	"NO"	"NO"	"PIGK"
"GI_23199984-S"	-0.0385768608727721	7.43614801923412	-1.84263258881005	0.0720174337899572	0.527651198110896	-4.74998553972221	"NO"	"NO"	"ULK2"
"GI_23199988-S"	0.0820523751950981	7.48074172626462	1.50777506337574	0.138644188201203	0.647902825889577	-5.27299214948818	"NO"	"NO"	"CXCL14"
"GI_23199992-S"	-0.0214368388995405	7.53919018317685	-0.992594082817721	0.326247982034069	0.819447851522036	-5.8895884601808	"NO"	"NO"	"LIG4"
"GI_23199994-S"	0.119412098460305	9.01051837732656	2.07991581955291	0.0432947370967212	0.443771055241393	-4.32554069448021	"NO"	"NO"	"WBSCR22"
"GI_23200030-A"	0.0685435232297067	8.42023820845914	0.548984002386979	0.585747055544566	0.922988597017968	-6.22424124573272	"NO"	"NO"	"TNFRSF25"
"GI_23200040-S"	0.10911736779051	8.76841950874473	1.45944779793791	0.151430622890919	0.666086773664894	-5.34076606551539	"NO"	"NO"	"TNFRSF14"
"GI_23238189-S"	-0.0113445617464727	7.28219948366654	-0.686025233475566	0.496238417936778	0.899098803187106	-6.14093405375103	"NO"	"NO"	"WFDC9"
"GI_23238191-S"	-0.00503337378079749	7.30004033162045	-0.183326232242294	0.855370660851146	0.977845903099277	-6.35670624253297	"NO"	"NO"	"TNFRSF17"
"GI_23238193-A"	0.0389824666454324	8.66617476774219	0.288586187214353	0.774231434457371	0.964285177190079	-6.33207189669793	"NO"	"NO"	"TNFRSF18"
"GI_23238195-S"	-0.0578996502911835	7.45030852547641	-1.79319766857944	0.0797053188888923	0.545412091536056	-4.83292393069855	"NO"	"NO"	"IL2RB"
"GI_23238205-S"	-0.000617722701808709	7.34637735701573	-0.0439749313890363	0.965120143584489	0.995978627039254	-6.37242922801652	"NO"	"NO"	"TNFRSF13B"
"GI_23238206-S"	0.0224305381357208	9.55763566835969	0.302530903416692	0.763649990497749	0.962623106682202	-6.32798672016187	"NO"	"NO"	"TNFRSF21"
"GI_23238207-S"	0.0634013793674653	7.432288438285	3.07278196339337	0.00360485451858313	0.17329310026071	-2.13166246803097	"NO"	"NO"	"IL17R"
"GI_23238212-S"	-0.189876868959542	9.73752961412935	-1.77472260969046	0.0827503433844002	0.55198626753867	-4.86342146488985	"NO"	"NO"	"ARPC5"
"GI_23238218-S"	-0.0201587153650156	9.43187982551941	-0.094646131358604	0.92501869073421	0.98876268956999	-6.36894155473771	"NO"	"NO"	"DMC1"
"GI_23238220-S"	0.0498033572881162	8.59191010038745	1.19293358276776	0.239185868554439	0.759476871213498	-5.67801855887754	"NO"	"NO"	"EIF3S7"
"GI_23238221-S"	-0.011382315075636	7.84036592403766	-0.443737708176137	0.659371721279366	0.940655505916851	-6.27582971422057	"NO"	"NO"	"COPS3"
"GI_23238227-S"	-0.00690100301814667	7.59499605630251	-0.250598966056126	0.803271891762358	0.969659660569045	-6.34222611017513	"NO"	"NO"	"CHST7"
"GI_23238230-A"	0.164287956625301	10.384359320297	1.1429392583713	0.259145379717142	0.777915269028877	-5.73424465415487	"NO"	"NO"	"HMGN3"
"GI_23238232-S"	0.0607369707932079	8.05357949010055	1.49116321584688	0.142938823462338	0.6538565188959	-5.29651335491543	"NO"	"NO"	"HMGN4"
"GI_23238239-S"	-0.0168027268576116	7.30069774779052	-0.917215005883442	0.363949878871053	0.838104591980088	-5.95960632316428	"NO"	"NO"	"AGTR2"
"GI_23238241-S"	0.0377199788620466	7.28884931086662	3.11036571316152	0.00324867975191745	0.167297792377618	-2.03715808012799	"NO"	"NO"	"WFDC5"
"GI_23238242-S"	0.0361254825346133	7.7261833459462	1.54587637656404	0.129181976596478	0.632852144812079	-5.21815899616896	"NO"	"NO"	"SNX13"
"GI_23238249-S"	0.0232120788461412	8.0715716672728	0.495847389583933	0.622430082258542	0.930879806221789	-6.25163900917344	"NO"	"NO"	"SNX17"
"GI_23238250-S"	-0.105653952413177	7.73111062217238	-3.12117384759231	0.00315255536329259	0.165279958808948	-2.0098463618606	"NO"	"NO"	"TIGD5"
"GI_23238255-A"	0.0215577806893803	7.42910964330137	1.05049543804629	0.299133794776002	0.804790377509147	-5.83222151890268	"NO"	"NO"	"CPT1B"
"GI_23308500-S"	-0.0301995165269853	7.61329566451567	-0.855072854112078	0.397068440619088	0.85652680340301	-6.01332612108874	"NO"	"NO"	"FLJ31606"
"GI_23308504-S"	0.0306854358431599	7.57949086224182	1.19662285192501	0.237758625427745	0.757870545364196	-5.6737800150281	"NO"	"NO"	"FLJ32112"
"GI_23308506-S"	-0.00894609925617118	7.32482656938046	-0.471658401464776	0.639463637818392	0.935602765195185	-6.26319848714215	"NO"	"NO"	"FLJ31166"
"GI_23308508-S"	0.00761458087017175	7.31900292306715	0.533278412739767	0.596481217798634	0.925586688499227	-6.23262561911999	"NO"	"NO"	"FLJ31958"
"GI_23308510-S"	-0.0239376635693711	7.62887148558242	-0.92122985869496	0.361873308051379	0.837489840115152	-5.95601084038959	"NO"	"NO"	"FLJ30726"
"GI_23308512-S"	0.00137271700186847	7.2822793822876	0.113424221443953	0.910201868936753	0.987308761628616	-6.36700177498402	"NO"	"NO"	"FLJ32831"
"GI_23308516-S"	0.0387542884671763	7.69001203124204	1.06331520704642	0.29334681570056	0.802716981222534	-5.81910187063531	"NO"	"NO"	"ZNF75A"
"GI_23308518-S"	0.0379478433971476	7.37836812036841	1.94154789306197	0.058507956897931	0.488813685801672	-4.57828136394421	"NO"	"NO"	"PRICKLE1"
"GI_23308520-S"	-0.0317236703024371	7.85067456973929	-0.675476844146305	0.502850621413542	0.900737278163093	-6.14799070374233	"NO"	"NO"	"FLJ30634"
"GI_23308524-S"	-0.0440078508905595	7.38324202053453	-2.7648174373827	0.00824458100174453	0.243380031171499	-2.87724752488418	"NO"	"NO"	"FLJ35801"
"GI_23308526-S"	0.0218770697880393	7.32490879713782	1.54570720531961	0.129222813770338	0.632852144812079	-5.21840516945529	"NO"	"NO"	"FLJ30679"
"GI_23308528-S"	-0.000645263950666219	7.28811147992473	-0.0506238517100735	0.959850681870938	0.994869414463768	-6.37211689780745	"NO"	"NO"	"FLJ32063"
"GI_23308530-S"	-0.010172197606102	7.28252019841185	-0.708311197145407	0.482427619128883	0.894483611440032	-6.12567356149875	"NO"	"NO"	"FLJ30430"
"GI_23308532-S"	0.00154691950788433	7.23589849988559	0.154637530744324	0.877802842095887	0.982268413251612	-6.36151788815554	"NO"	"NO"	"FLJ30594"
"GI_23308536-S"	0.00334623954075397	7.28592308470223	0.273620255374122	0.785636180733268	0.965415756184707	-6.33624260912554	"NO"	"NO"	"FLJ32447"
"GI_23308538-S"	-0.00699644358105012	7.28240667704923	-0.661797046987126	0.511496942715926	0.903269998035215	-6.15698268972666	"NO"	"NO"	"FLJ32955"
"GI_23308540-S"	0.021235706384223	7.31474340946481	1.2443111674057	0.219866896299723	0.744176021490606	-5.61789167731056	"NO"	"NO"	"FLJ31659"
"GI_23308544-S"	-0.00343591067753213	7.27048225916108	-0.192058951071548	0.84856542816561	0.976327449115137	-6.35507966614817	"NO"	"NO"	"FLJ30668"
"GI_23308546-S"	-0.00565479978152705	7.53268481647748	-0.198165908354729	0.843813290310661	0.975489838100822	-6.3538972797508	"NO"	"NO"	"FLJ32803"
"GI_23308548-S"	-0.017938846169935	7.33249820591376	-1.12944579637796	0.264731429875973	0.78234064351407	-5.74903195021524	"NO"	"NO"	"FLJ32065"
"GI_23308550-S"	0.0199075281105783	7.28092030561467	1.78766882476437	0.0806065443779052	0.547118186400395	-4.84207919242884	"NO"	"NO"	"KCTD7"
"GI_23308552-S"	0.0208076983516525	7.4293838627503	0.847123765465081	0.401436680111601	0.85963148750883	-6.01993531138816	"NO"	"NO"	"SPATA13"
"GI_23308556-S"	0.00473742472726268	7.42371051985013	0.188054786701671	0.851684377767716	0.976641931262593	-6.35583487062948	"NO"	"NO"	"FLJ32293"
