Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619578		16167	CFTR_network_edit					REACTANT:1496212,PRODUCT:1496163	e258__e258_r						Positive influence
619579		16167	CFTR_network_edit				PUBMED:25762723,PUBMED:31481727,PUBMED:11051556,PUBMED:15766278	REACTANT:1496062,PRODUCT:1496184	e118__e118_r						Positive influence
619580		16167	CFTR_network_edit					REACTANT:1496200,PRODUCT:1496299	e141__e141_r						Positive influence
619581		16167	CFTR_network_edit					REACTANT:1496289,PRODUCT:1496014	e29__e29_r						Positive influence
619582		16167	CFTR_network_edit				PUBMED:15479737,PUBMED:12239560	REACTANT:1496129,PRODUCT:1496191	e71__e71_r						Positive influence
619583		16167	CFTR_network_edit				PUBMED:11937500	REACTANT:1496261,PRODUCT:1496262	e127__e127_r						Positive influence
619584		16167	CFTR_network_edit					REACTANT:1496126,PRODUCT:1496089	e86__e86_r						Positive influence
619585		16167	CFTR_network_edit				PUBMED:20595578,PUBMED:23178238,PUBMED:29986884,PUBMED:21697503	REACTANT:1496248,PRODUCT:1496301	e18__e18_r						Positive influence
619586		16167	CFTR_network_edit				PUBMED:18267124	REACTANT:1496004,PRODUCT:1496118	e68__e68_r						Positive influence
619587		16167	CFTR_network_edit				PUBMED:14993232,PUBMED:23148778	REACTANT:1495961,PRODUCT:1496205	e96__e96_r						Positive influence
619588		16167	CFTR_network_edit				PUBMED:19275885,PUBMED:19174149	REACTANT:1496302,PRODUCT:1496306	e57__e57_r						Positive influence
619589		16167	CFTR_network_edit				PUBMED:20595578,PUBMED:31231217,PUBMED:20534503,PUBMED:24393850,PUBMED:31014000,PUBMED:26637637,PUBMED:17110338	REACTANT:1496180,PRODUCT:1496281	e8__e8_r						Positive influence
619590		16167	CFTR_network_edit				PUBMED:11865034,PUBMED:12209004,PUBMED:9384384	REACTANT:1496074,PRODUCT:1496076	e123__e123_r						Negative influence
619591		16167	CFTR_network_edit					REACTANT:1496238,PRODUCT:1496265	e156__e156_r						Positive influence
619592		16167	CFTR_network_edit					REACTANT:1496159,PRODUCT:1496174	e188__e188_r						Positive influence
619593		16167	CFTR_network_edit				PUBMED:21148293	REACTANT:1496015,PRODUCT:1496083	e58__e58_r						Positive influence
619594		16167	CFTR_network_edit				PUBMED:11865034,PUBMED:12209004,PUBMED:9384384,PUBMED:9724814	REACTANT:1496209,PRODUCT:1496153	e173__e173_r						Positive influence
619595		16167	CFTR_network_edit				PUBMED:11560923,PUBMED:20351096,PUBMED:23181163,PUBMED:10652362,PUBMED:15247260,PUBMED:7510684,PUBMED:11237860,PUBMED:11845307	REACTANT:1495981,PRODUCT:1496153	e286__e286_r						Positive influence
619596		16167	CFTR_network_edit				PUBMED:11577110,PUBMED:11517213	REACTANT:1496107,PRODUCT:1495981	e167__e167_r						Positive influence
619597		16167	CFTR_network_edit				PUBMED:27206858,PUBMED:32573649	REACTANT:1495959,PRODUCT:1496283	e252__e252_r						Positive influence
619598		16167	CFTR_network_edit				PUBMED:25762723,PUBMED:31481727,PUBMED:11051556,PUBMED:15766278	REACTANT:1496062,PRODUCT:1496242	e119__e119_r						Positive influence
619599		16167	CFTR_network_edit				PUBMED:32144307,PUBMED:26618866,PUBMED:17110338	REACTANT:1496252,PRODUCT:1496172	e80__e80_r						Positive influence
619600		16167	CFTR_network_edit				PUBMED:20351096,PUBMED:15247260,PUBMED:11967127	REACTANT:1496298,PRODUCT:1495968	e161__e161_r						Positive influence
619601		16167	CFTR_network_edit				PUBMED:18285607,PUBMED:16621797,PUBMED:16954204,PUBMED:26618866,PUBMED:18216283,PUBMED:17110338	REACTANT:1496306,PRODUCT:1496162	e61__e61_r						Positive influence
619602		16167	CFTR_network_edit					REACTANT:1496236,PRODUCT:1496168	e210__e210_r						Positive influence
619603		16167	CFTR_network_edit					REACTANT:1496208,PRODUCT:1496156	e288__e288_r						Positive influence
619604		16167	CFTR_network_edit				PUBMED:31231217,PUBMED:26618866,PUBMED:12039948,PUBMED:31014000,PUBMED:29924966,PUBMED:28970102	REACTANT:1496292,PRODUCT:1496175	e305__e305_r						Positive influence
619605		16167	CFTR_network_edit				PUBMED:1377674,PUBMED:1716180,PUBMED:7684377	REACTANT:1496262,PRODUCT:1496113	e131__e131_r						Positive influence
619606		16167	CFTR_network_edit				PUBMED:10980202,PUBMED:12193606	REACTANT:1496036,PRODUCT:1496120	e181__e181_r						Positive influence
619607		16167	CFTR_network_edit				PUBMED:9748260,PUBMED:12080047	REACTANT:1495966,PRODUCT:1496254	e267__e267_r						Positive influence
619608		16167	CFTR_network_edit				PUBMED:1377674,PUBMED:1716180,PUBMED:7684377	REACTANT:1496226,PRODUCT:1495998	e179__e179_r						Positive influence
619609		16167	CFTR_network_edit					REACTANT:1496148,PRODUCT:1496224	e84__e84_r						Positive influence
619610		16167	CFTR_network_edit				PUBMED:26186194,PUBMED:10562288	REACTANT:1496256,PRODUCT:1496309	e285__e285_r						Positive influence
619611		16167	CFTR_network_edit				PUBMED:19275885	REACTANT:1496302,PRODUCT:1496189	e238__e238_r						Positive influence
619612		16167	CFTR_network_edit				PUBMED:12080047	REACTANT:1496092,PRODUCT:1495966	e266__e266_r						Positive influence
619613		16167	CFTR_network_edit				PUBMED:24727471,PUBMED:32117984,PUBMED:16887929,PUBMED:21930781	REACTANT:1496204,PRODUCT:1496153	e174__e174_r						Positive influence
619614		16167	CFTR_network_edit				PUBMED:30066085,PUBMED:32573649	REACTANT:1496152,PRODUCT:1496242	e253__e253_r						Negative influence
619615		16167	CFTR_network_edit				PUBMED:9792704,PUBMED:26618866,PUBMED:19019984,PUBMED:18555783,PUBMED:17110338,PUBMED:23248597	REACTANT:1495962,PRODUCT:1496118	e38__e38_r						Positive influence
619616		16167	CFTR_network_edit				PUBMED:32144307,PUBMED:12039948,PUBMED:19098309	REACTANT:1496106,PRODUCT:1496289	e81__e81_r						Positive influence
619617		16167	CFTR_network_edit				PUBMED:19889841,PUBMED:12773565,PUBMED:23148778	REACTANT:1496136,PRODUCT:1496000	e109__e109_r						Positive influence
619618		16167	CFTR_network_edit				PUBMED:20595578,PUBMED:15611333,PUBMED:10075921,PUBMED:19098309,PUBMED:16901789,PUBMED:11146634	REACTANT:1495993,PRODUCT:1496014	e60__e60_r						Positive influence
619619		16167	CFTR_network_edit				PUBMED:29986884,PUBMED:26618866	REACTANT:1496169,PRODUCT:1496301	e243__e243_r						Positive influence
619620		16167	CFTR_network_edit				PUBMED:9792704,PUBMED:26618866,PUBMED:19019984,PUBMED:18555783,PUBMED:17110338,PUBMED:23248597	REACTANT:1496285,PRODUCT:1496237	e292__e292_r						Positive influence
619621		16167	CFTR_network_edit				PUBMED:18682497,PUBMED:19307599,PUBMED:15923638,PUBMED:7513695	REACTANT:1496202,PRODUCT:1496301	e19__e19_r						Positive influence
619622		16167	CFTR_network_edit				PUBMED:11937500	REACTANT:1496121,PRODUCT:1496160	e194__e194_r						Positive influence
619623		16167	CFTR_network_edit					REACTANT:1496156,PRODUCT:1496289	e0__e0_r						Positive influence
619624		16167	CFTR_network_edit				PUBMED:22675024,PUBMED:17005010	REACTANT:1496191,PRODUCT:1496073	e74__e74_r						Positive influence
619625		16167	CFTR_network_edit				PUBMED:28360110,PUBMED:15048129,PUBMED:12411484,PUBMED:20658517	REACTANT:1496294,PRODUCT:1496124	e198__e198_r						Positive influence
619626		16167	CFTR_network_edit					REACTANT:1496064,PRODUCT:1496253	e102__e102_r						Positive influence
619627		16167	CFTR_network_edit					REACTANT:1496270,PRODUCT:1496240	e300__e300_r						Positive influence
619628		16167	CFTR_network_edit				PUBMED:20844248	REACTANT:1496295,PRODUCT:1496265	e154__e154_r						Positive influence
619629		16167	CFTR_network_edit				PUBMED:32144307,PUBMED:26618866,PUBMED:10075921,PUBMED:21148293,PUBMED:18556464,PUBMED:17110338,PUBMED:11146634	REACTANT:1496216,PRODUCT:1495993	e42__e42_r						Positive influence
619630		16167	CFTR_network_edit					REACTANT:1496263,PRODUCT:1496297	e220__e220_r						Positive influence
619631		16167	CFTR_network_edit				PUBMED:20089840	REACTANT:1496241,PRODUCT:1496113	e143__e143_r						Positive influence
619632		16167	CFTR_network_edit					REACTANT:1496124,PRODUCT:1496225	e199__e199_r						Positive influence
619633		16167	CFTR_network_edit				PUBMED:15546864,PUBMED:11162552	REACTANT:1496177,PRODUCT:1496285	e275__e275_r						Positive influence
619634		16167	CFTR_network_edit				PUBMED:9613608,PUBMED:12502786,PUBMED:10852925,PUBMED:9671706,PUBMED:15048129,PUBMED:32014995,PUBMED:27206858,PUBMED:10562288,PUBMED:23148778,PUBMED:9677412	REACTANT:1495973,PRODUCT:1496114	e279__e279_r						Positive influence
619635		16167	CFTR_network_edit				PUBMED:16203867,PUBMED:28869532,PUBMED:21299497,PUBMED:15143197	REACTANT:1496183,PRODUCT:1496174	e184__e184_r						Positive influence
