Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619485		16166	F508del_network_edit				PUBMED:20130090	REACTANT:1495854,PRODUCT:1495882	e53__e53_r						Positive influence
619486		16166	F508del_network_edit				PUBMED:31324722	REACTANT:1495850,PRODUCT:1495880	e85__e85_r						Negative influence
619487		16166	F508del_network_edit					REACTANT:1495878,PRODUCT:1495905	e76__e76_r						Positive influence
619488		16166	F508del_network_edit				PUBMED:30066085,PUBMED:17110338	REACTANT:1495825,PRODUCT:1495912	e69__e69_r						Positive influence
619489		16166	F508del_network_edit				PUBMED:15215316,PUBMED:9830037	REACTANT:1495950,PRODUCT:1495931	e42__e42_r						Positive influence
619490		16166	F508del_network_edit					REACTANT:1495879,PRODUCT:1495865	e94__e94_r						Positive influence
619491		16166	F508del_network_edit				PUBMED:23155000	REACTANT:1495913,PRODUCT:1495885	e2__e2_r						Positive influence
619492		16166	F508del_network_edit				PUBMED:26627832,PUBMED:23155000	REACTANT:1495952,PRODUCT:1495869	e98__e98_r						Positive influence
619493		16166	F508del_network_edit				PUBMED:18555783	REACTANT:1495844,PRODUCT:1495939	e17__e17_r						Positive influence
619494		16166	F508del_network_edit					REACTANT:1495856,PRODUCT:1495849	e66__e66_r						Positive influence
619495		16166	F508del_network_edit				PUBMED:15611333,PUBMED:10075921	REACTANT:1495800,PRODUCT:1495869	e37__e37_r						Positive influence
619496		16166	F508del_network_edit				PUBMED:26618866,PUBMED:30066085	REACTANT:1495910,PRODUCT:1495879	e96__e96_r						Positive influence
619497		16166	F508del_network_edit				PUBMED:30066085,PUBMED:29924966	REACTANT:1495943,PRODUCT:1495819	e79__e79_r						Positive influence
619498		16166	F508del_network_edit				PUBMED:26618866,PUBMED:17110338	REACTANT:1495857,PRODUCT:1495883	e74__e74_r						Positive influence
619499		16166	F508del_network_edit					REACTANT:1495883,PRODUCT:1495912	e70__e70_r						Positive influence
619500		16166	F508del_network_edit				PUBMED:20534503,PUBMED:30066085	REACTANT:1495817,PRODUCT:1495912	e61__e61_r						Positive influence
619501		16166	F508del_network_edit				PUBMED:28855508,PUBMED:17272822,PUBMED:15611333,PUBMED:18285607,PUBMED:10075921,PUBMED:10982807	REACTANT:1495947,PRODUCT:1495879	e0__e0_r						Positive influence
619502		16166	F508del_network_edit				PUBMED:17110338,PUBMED:29924966	REACTANT:1495832,PRODUCT:1495903	e81__e81_r						Positive influence
619503		16166	F508del_network_edit				PUBMED:26618866	REACTANT:1495845,PRODUCT:1495940	e90__e90_r						Positive influence
619504		16166	F508del_network_edit				PUBMED:30066085,PUBMED:15007060	REACTANT:1495848,PRODUCT:1495948	e46__e46_r						Positive influence
619505		16166	F508del_network_edit					REACTANT:1495912,PRODUCT:1495818	e82__e82_r						Positive influence
619506		16166	F508del_network_edit					REACTANT:1495903,PRODUCT:1495948	e83__e83_r						Positive influence
619507		16166	F508del_network_edit				PUBMED:30066085,PUBMED:17110338,PUBMED:18022401	REACTANT:1495896,PRODUCT:1495886	e1__e1_r						Positive influence
619508		16166	F508del_network_edit				PUBMED:19617352,PUBMED:29924966	REACTANT:1495908,PRODUCT:1495912	e78__e78_r						Positive influence
619509		16166	F508del_network_edit				PUBMED:28855508,PUBMED:17272822,PUBMED:15611333,PUBMED:18285607,PUBMED:10075921,PUBMED:10982807	REACTANT:1495931,PRODUCT:1495869	e23__e23_r						Positive influence
