Symbol	pathway_name
339	ZNRF3	Wnt signaling pathway
340	CTNND2	Wnt signaling pathway
341	APCDD1	Wnt signaling pathway
342	MAPK8	Wnt signaling pathway
343	CSNK2A1	Wnt signaling pathway
344	ROCK2	Wnt signaling pathway
345	CAMK2A	Wnt signaling pathway
346	PRKCA	Wnt signaling pathway
347	NFATC1	Wnt signaling pathway
348	VANGL2	Wnt signaling pathway
349	MYC	Wnt signaling pathway
350	JUN	Wnt signaling pathway
351	FOSL1	Wnt signaling pathway
352	CCND1	Wnt signaling pathway
353	PPARD	Wnt signaling pathway
354	MMP7	Wnt signaling pathway
355	GPC4	Wnt signaling pathway
356	RBX1	Wnt signaling pathway
357	ROR1	Wnt signaling pathway
358	RYK	Wnt signaling pathway
359	LGR4	Wnt signaling pathway
360	DLL3	Notch signaling pathway
361	NOTCH1	Notch signaling pathway
362	ADAM17	Notch signaling pathway
363	ADAM18	Notch signaling pathway
364	LFNG	Notch signaling pathway
365	RBPJL	Notch signaling pathway
366	JAG1	Notch signaling pathway
367	DVL1	Notch signaling pathway
368	NUMB	Notch signaling pathway
369	ATXN1L	Notch signaling pathway
370	DTX2	Notch signaling pathway
371	HES1	Notch signaling pathway
372	PTCRA	Notch signaling pathway
373	SNW1	Notch signaling pathway
374	HEY1	Notch signaling pathway
375	PTCH1	Hedgehog signaling pathway
376	GLI1	Hedgehog signaling pathway
377	PRKACA	Hedgehog signaling pathway
378	CUL1	Hedgehog signaling pathway
379	HHIP	Hedgehog signaling pathway
380	SMO	Hedgehog signaling pathway
381	IHH	Hedgehog signaling pathway
382	CUL3	Hedgehog signaling pathway
383	ARRB1	Hedgehog signaling pathway
384	EVC2	Hedgehog signaling pathway
385	KIF3A	Hedgehog signaling pathway
386	GRK2	Hedgehog signaling pathway
387	MOSMO	Hedgehog signaling pathway
388	MEGF8	Hedgehog signaling pathway
389	MGRN1	Hedgehog signaling pathway
390	HHATL	Hedgehog signaling pathway
391	SUFU	Hedgehog signaling pathway
392	KIF7	Hedgehog signaling pathway
393	GSK3B	Hedgehog signaling pathway
394	FBXW11	Hedgehog signaling pathway
395	SPOPL	Hedgehog signaling pathway
396	GPR161	Hedgehog signaling pathway
397	CCND1	Hedgehog signaling pathway
398	BCL2	Hedgehog signaling pathway
399	HHAT	Hedgehog signaling pathway
400	DISP1	Hedgehog signaling pathway
401	TGFB1	TGF-beta signaling pathway
402	GDF7	TGF-beta signaling pathway
403	INHBA	TGF-beta signaling pathway
404	NODAL	TGF-beta signaling pathway
405	SMAD1	TGF-beta signaling pathway
406	SMAD2	TGF-beta signaling pathway
407	MYC	TGF-beta signaling pathway
408	SMAD6	TGF-beta signaling pathway
409	CHRD	TGF-beta signaling pathway
410	NOG	TGF-beta signaling pathway
411	THBS1	TGF-beta signaling pathway
412	LTBP1	TGF-beta signaling pathway
413	DCN	TGF-beta signaling pathway
414	LEFTY1	TGF-beta signaling pathway
415	FST	TGF-beta signaling pathway
416	ZFYVE9	TGF-beta signaling pathway
417	RHOA	TGF-beta signaling pathway
418	TGFBR2	TGF-beta signaling pathway
419	BAMBI	TGF-beta signaling pathway
420	FMOD	TGF-beta signaling pathway
